"","Sample","PSMA1","PSMA2","PSMA3","PSMA4","PSMA5","PSMA7","PSMB1","PSMB2","PSMB3","PSMB4","PSMB5","PSMB6","PSMB7","PSMB8","PSMB9","PSMC1","PSMC2","PSMC3","PSMC4","PSMC5","PSMC6","PSMD1","PSMD2","PSMD3","PSMD4","PSMD5","PSMD6","PSMD7","PSMD8","PSMD9","PSMD10","PSMD11","PSMD12","PSMD13","PSMD14","PSME1","PSME3","histology","proteasome_mean"
"1","MED-0945",11.9953,11.0918,7.6639,10.9892,9.3559,11.3396,12.4751,7.7567,12.3218,12.8775,12.5763,11.706,8.9539,7.8838,7.3437,12.0195,10.3341,11.7318,10.9229,11.613,10.3748,10.194,11.0808,10.7982,12.4636,7.8651,8.314,9.9065,11.4707,9.0488,11.0622,10.5537,10.3494,10.1581,13.4207,10.5651,9.1518,"Medulloblastoma",10.5332243243243
"2","MED-186",11.3375,10.2222,6.5603,10.5672,8.6318,9.7645,11.4736,8.0872,11.2156,11.1944,11.2641,11.2397,8.8753,6.6964,6.3579,11.1921,10.1621,10.4051,9.5815,11.1312,9.9596,9.6982,10.392,10.0536,10.8152,7.7542,7.1617,10.2322,10.7109,8.0232,10.994,10.2255,10.1324,8.7229,10.6646,9.7083,9.5874,"Medulloblastoma",9.75123243243243
"3","MED-254",11.4523,9.8533,6.8635,10.6336,8.6284,10.3304,11.2363,7.9375,11.3385,10.81,11.3475,11.131,8.7679,6.7379,6.7481,11.3373,9.9103,10.6724,9.7806,11.6561,10.3465,10.0736,10.7362,10.7065,11.0071,7.5446,7.044,10.4372,10.4645,8.417,10.9001,10.9122,10.9409,8.915,11.2029,9.7789,9.8501,"Medulloblastoma",9.90405945945946
"4","MED-258",12.1246,10.3329,6.9938,11.5175,7.8372,10.8029,12.1055,8.0185,14.1187,11.2985,12.2606,10.7167,9.4427,9.1191,9.1732,11.7915,9.3358,10.8849,9.9995,11.1826,10.5089,10.357,10.6176,10.8809,10.7495,7.6033,6.777,10.7693,11.4199,8.1902,10.3015,9.8967,10.1272,9.5327,10.3215,10.7232,9.4732,"Medulloblastoma",10.1974675675676
"5","MED-262",10.9051,9.6954,6.4733,9.9636,8.2626,9.0914,10.9387,8.0892,11.1096,10.8605,10.9936,9.9117,8.6323,7.3011,6.7796,10.9523,9.7763,10.1187,9.1197,10.9905,10.157,9.8989,9.9349,10.6954,10.7034,7.6535,6.9039,10.2496,10.1675,8.3777,10.5638,10.5737,10.292,8.4965,10.4597,10.142,9.3437,"Medulloblastoma",9.5832
"6","MED-277",11.5466,10.8512,7.1707,10.5754,9.1583,10.3091,12.3146,7.3785,12.0008,11.913,12.3433,11.7588,9.7446,8.3523,7.855,11.7146,10.5645,10.4281,9.9859,11.443,10.8651,10.3877,11.0387,10.708,11.2305,7.7686,8.0713,10.5142,10.8647,8.7697,10.8517,10.7689,10.6835,9.6204,12.0149,10.9028,8.3315,"Medulloblastoma",10.2919054054054
"7","MED-288",11.5872,10.5131,6.6303,10.8276,8.044,9.664,11.8461,7.8668,10.9305,11.3732,11.814,11.2509,9.2342,8.5112,7.6017,11.2971,8.8674,10.337,9.8865,10.5524,10.0958,10.0794,10.8514,9.8775,10.4966,7.8124,7.3177,10.3009,11.2674,8.0724,10.1339,9.6978,9.2515,9.0262,10.6457,10.5785,8.9285,"Medulloblastoma",9.81267027027027
"8","MED-330",10.9889,10.187,6.846,9.9879,8.433,8.9217,10.9803,8.0809,10.4315,11.0516,11.1172,10.8203,8.4671,6.7964,6.3239,10.9583,9.8494,9.957,9.495,10.5031,10.0729,9.7812,9.6678,9.989,10.7213,7.6451,6.7151,10.3475,10.0117,8.2765,10.5208,10.111,9.928,8.3537,11.1032,9.9331,8.9673,"Medulloblastoma",9.52274864864865
"9","MED-437",11.0627,9.5901,6.9554,10.3382,8.5653,9.5137,11.2629,7.8062,11.0296,11.2223,10.7743,10.1528,8.966,7.1285,7.1928,10.9548,9.8911,9.6232,9.3018,11.09,10.6011,10.1222,10.3358,10.1482,10.7114,7.2979,7.3885,10.2901,10.288,8.1393,10.6751,10.3954,10.4656,8.734,11.4796,10.1279,9.3551,"Medulloblastoma",9.70207837837838
"10","MED-529",11.7409,10.7455,6.8759,11.3218,9.6323,11.0976,12.5561,7.7027,11.8024,12.8452,11.7615,11.2504,8.7067,10.1467,9.3399,11.8711,9.6347,11.0789,10.0954,12.0061,10.8631,10.3939,10.7532,10.5108,11.3105,7.9065,7.8594,10.4471,11.448,9.0834,11.1795,9.6214,10.2857,9.7087,11.7736,11.624,9.0452,"Medulloblastoma",10.4331297297297
